sku,slug,nameTh,nameZh,nameEn,descriptionTh,descriptionZh,descriptionEn,priceCents,currency,stock,weightGrams,category,tags,images,active,bigcUrl,priceNote
DKM-STB-140G,doi-kham-dehydrated-strawberry-140g,ดอยคำ สตรอว์เบอร์รี่อบแห้ง 140 กรัม,Doi Kham 皇家草莓干 140克,Doi Kham Dehydrated Strawberry 140g,ดอยคำ สตรอว์เบอร์รี่อบแห้ง 140 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Doi Kham 皇家草莓干 140克，泰国正品，精选泰国人气商品，泰国直邮。,"Doi Kham Dehydrated Strawberry 140g — 100% authentic Thai product, shipped directly from Thailand.",6900,CNY,50,180,Dried Fruits,Doi|泰国果干|水果干|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/dkm-stb-140g.webp,true,https://www.bigc.co.th/product/doikham-dehydrated-strawberry-140-g.37891,"snippet-only, verify in Big C app before ordering"
KTK-WFR-CHC-17G-24PK,kitkat-chocolate-wafer-17g-24pcs,คิทแคท เวเฟอร์รสช็อกโกแลต 17 กรัม (แพ็ก 24),雀巢奇巧巧克力威化(泰国版) 17克 (24件装),KitKat Chocolate Wafer 17g (Pack of 24),คิทแคท เวเฟอร์รสช็อกโกแลต 17 กรัม (แพ็ก 24) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,雀巢奇巧巧克力威化(泰国版) 17克 (24件装)，泰国正品，精选泰国人气商品，泰国直邮。,"KitKat Chocolate Wafer 17g (Pack of 24) — 100% authentic Thai product, shipped directly from Thailand.",9900,CNY,50,500,Snack,雀巢奇巧巧克力威化(泰国版)|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/ktk-wfr-chc-17g-24pk.webp,true,https://www.bigc.co.th/product/kitkat-chocolate-17-g-pack-24.216,"snippet-only, verify in Big C app before ordering"
LBO-CRP-GRN-50G,lobo-green-curry-paste-50g,โลโบ น้ำพริกแกงเขียวหวาน 50 กรัม,Lobo 绿咖喱酱 50克 (无虾酱),Lobo Green Curry Paste 50g,โลโบ น้ำพริกแกงเขียวหวาน 50 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Lobo 绿咖喱酱 50克 (无虾酱)，泰国正品，精选泰国人气商品，泰国直邮。,"Lobo Green Curry Paste 50g — 100% authentic Thai product, shipped directly from Thailand.",2500,CNY,50,70,Thai Cooking Paste,Lobo|泰国咖喱酱|泰式料理|泰国调料,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/lbo-crp-grn-50g.webp,true,https://www.bigc.co.th/product/lobo-green-curry-paste-50g-m.4476,"snippet-only, verify in Big C app before ordering"
LBO-CRP-MSM-50G,lobo-massaman-curry-paste-50g,โลโบ น้ำพริกแกงมัสมั่น 50 กรัม,Lobo 玛莎曼咖喱酱 50克,Lobo Massaman Curry Paste 50g,โลโบ น้ำพริกแกงมัสมั่น 50 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Lobo 玛莎曼咖喱酱 50克，泰国正品，精选泰国人气商品，泰国直邮。,"Lobo Massaman Curry Paste 50g — 100% authentic Thai product, shipped directly from Thailand.",2500,CNY,50,70,Thai Cooking Paste,Lobo|泰国咖喱酱|泰式料理|泰国调料,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/lbo-crp-msm-50g.webp,true,https://www.bigc.co.th/product/lobo-seasoning-powder-thai-massaman-curry-paste-50-g.1853,"snippet-only, verify in Big C app before ordering"
LBO-CRP-PNG-50G,lobo-panang-curry-paste-50g,โลโบ น้ำพริกแกงพะแนง 50 กรัม,Lobo 帕能咖喱酱 50克,Lobo Panang Curry Paste 50g,โลโบ น้ำพริกแกงพะแนง 50 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Lobo 帕能咖喱酱 50克，泰国正品，精选泰国人气商品，泰国直邮。,"Lobo Panang Curry Paste 50g — 100% authentic Thai product, shipped directly from Thailand.",2500,CNY,50,70,Thai Cooking Paste,Lobo|泰国咖喱酱|泰式料理|泰国调料,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/lbo-crp-png-50g.webp,true,https://www.bigc.co.th/product/lobo-panang-curry-paste-50-g.1254,"snippet-only, verify in Big C app before ordering"
MPN-CHP-VEG-114G,maepranom-vegetarian-chili-paste-114g,แม่ประนอม น้ำพริกเผาไทย สูตรเจ 114 กรัม,泰式素辣椒酱(无虾冬阴功酱底) 114克,Mae Pranom Thai Chili Paste Vegetarian 114g,แม่ประนอม น้ำพริกเผาไทย สูตรเจ 114 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,泰式素辣椒酱(无虾冬阴功酱底) 114克，泰国正品，精选泰国人气商品，泰国直邮。,"Mae Pranom Thai Chili Paste Vegetarian 114g — 100% authentic Thai product, shipped directly from Thailand.",3900,CNY,50,200,Thai Cooking,泰式素辣椒酱(无虾冬阴功酱底)|泰国调料|泰式料理|泰国厨房,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/mpn-chp-veg-114g.webp,true,https://www.bigc.co.th/product/mae-pranom-brand-thai-chilli-paste-vegetarian-formula-114-g.11455,"snippet-only, verify in Big C app before ordering"
CCD-3IN1-110G,cocoa-dutch-3in1-110g,โกโก้ดัทช์ โกโก้ปรุงสำเร็จ 3in1 110 กรัม,Cocoa Dutch 3合1可可粉 110克,Cocoa Dutch 3in1 Cocoa Powder 110g,โกโก้ดัทช์ โกโก้ปรุงสำเร็จ 3in1 110 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Cocoa Dutch 3合1可可粉 110克，泰国正品，精选泰国人气商品，泰国直邮。,"Cocoa Dutch 3in1 Cocoa Powder 110g — 100% authentic Thai product, shipped directly from Thailand.",4900,CNY,50,140,Beverage,Cocoa|泰国饮品|冲调饮品|泰国特产,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/ccd-3in1-110g.webp,true,https://www.bigc.co.th/product/cocoa-dutch-brand-cocoa-powder-3-in-1-110-g.2123,"snippet-only, verify in Big C app before ordering"
NPM-PFW-140ML,noppamas-thai-traditional-perfume-140ml,นพมาศ น้ำอบไทย ขนาดกลาง 140 มล.,Noppamas 泰式传统香水花露 140毫升,Noppamas Thai Traditional Perfume 140ml,นพมาศ น้ำอบไทย ขนาดกลาง 140 มล. สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Noppamas 泰式传统香水花露 140毫升，泰国正品，精选泰国人气商品，泰国直邮。,"Noppamas Thai Traditional Perfume 140ml — 100% authentic Thai product, shipped directly from Thailand.",5900,CNY,50,250,Personal Care,Noppamas|个人护理|泰国日用品|泰国正品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/npm-pfw-140ml.webp,true,https://www.bigc.co.th/product/noppamas-thai-traditional-perfume-medium-bottle-140-cc.35519,"snippet-only, verify in Big C app before ordering"
MNR-TRO-CHP-65G,manora-fried-taro-chips-65g,มโนห์รา ข้าวเกรียบเผือกทอด 65 กรัม,Manora 香脆芋头片 65克,Manora Fried Taro Chips 65g,มโนห์รา ข้าวเกรียบเผือกทอด 65 กรัม สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,Manora 香脆芋头片 65克，泰国正品，精选泰国人气商品，泰国直邮。,"Manora Fried Taro Chips 65g — 100% authentic Thai product, shipped directly from Thailand.",1990,CNY,50,90,Snack,Manora|泰国零食|进口零食|泰国特产|休闲食品,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/mnr-tro-chp-65g.webp,true,https://www.bigc.co.th/product/manora-fried-taro-chips-65g.71332,"snippet-only, verify in Big C app before ordering"
GMT-SOY-200ML-2PK,golden-mountain-light-soy-sauce-200ml-2pcs,ภูเขาทอง ซีอิ๊วขาว 200 มล. (แพ็กคู่),金山牌泰式白酱油 200毫升 (2瓶装),Golden Mountain Light Soy Sauce 200ml (Pack of 2),ภูเขาทอง ซีอิ๊วขาว 200 มล. (แพ็กคู่) สินค้าของแท้ 100% จากประเทศไทย คัดสรรสินค้ายอดนิยมส่งตรงถึงมือคุณ,金山牌泰式白酱油 200毫升 (2瓶装)，泰国正品，精选泰国人气商品，泰国直邮。,"Golden Mountain Light Soy Sauce 200ml (Pack of 2) — 100% authentic Thai product, shipped directly from Thailand.",1990,CNY,50,700,Thai Cooking,金山牌泰式白酱油|泰国调料|泰式料理|泰国厨房,https://ljvjlhinehgehdpjhbfe.supabase.co/storage/v1/object/public/siambox-products/products/gmt-soy-200ml-2pk.webp,true,https://www.bigc.co.th/product/golden-mountain-light-soy-sauce-200-ml.7956587,"snippet-only, verify in Big C app before ordering"
